Studio_ID,Studio
68,XEBEC
47,SATELIGHT
13,Haoliners Animation League
180,Craftar
65,ARMS
181,E&G Films
99,Doga Kobo
182,Trans Arts
6,MADHOUSE
183,Gathering
73,AIC
87,Tezuka Productions
184,Encourage Films
22,A-1 Pictures
30,Geno Studio
56,BEE TRAIN
73,AIC
185,Big Bang
27,Production I.G
1,TMS Entertainment
6,MADHOUSE
44,Toei Animation
57,SILVER LINK.
186,Ginga Teikoku
43,J.C.Staff
28,LIDEN FILMS
25,Studio DEEN
73,AIC
172,EMT Squared
44,Toei Animation
45,Hoods Entertainment
187,Studio Look
188,Tokyo Kids
73,AIC
87,Tezuka Productions
27,Production I.G
68,XEBEC
189,PP Project
43,J.C.Staff
68,XEBEC
73,AIC
73,AIC
79,Project No.9
87,Tezuka Productions
6,MADHOUSE
65,ARMS
190,Next Media Animation
6,MADHOUSE
117,feel.
41,OLM
191,Chaos Project
68,XEBEC
108,Production IMS
20,SHAFT
192,LandQ Studios
6,MADHOUSE
179,Studio 4°C
73,AIC
27,Production I.G
193,Plum
194,Tomovies
20,SHAFT
195,Ekura Animal
22,A-1 Pictures
41,OLM
44,Toei Animation
45,Hoods Entertainment
65,ARMS
147,Fortes
43,J.C.Staff
196,Sublimation
22,A-1 Pictures
75,Zexcs
88,Triangle Staff
53,TNK
44,Toei Animation
25,Studio DEEN
53,TNK
197,Vega Entertainment
101,Khara
28,LIDEN FILMS
107,Studio Fantasia
67,A.P.P.P.
39,Seven Arcs
68,XEBEC
43,J.C.Staff
123,Hal Film Maker
75,Zexcs
33,Magic Bus
18,Sunrise
192,LandQ Studios
123,Hal Film Maker
33,Magic Bus
192,LandQ Studios
198,ark
107,Studio Fantasia
142,Ashi Productions
103,Group TAC
199,Circus Production
74,P.A. WORKS
73,AIC
43,J.C.Staff
43,J.C.Staff
43,J.C.Staff
110,Shin-Ei Animation
65,ARMS
43,J.C.Staff
79,Project No.9
20,SHAFT
19,Pierrot
19,Pierrot
75,Zexcs
200,Kent House
201,Fall 1998
171,Bee Media
81,Tatsunoko Production
81,Tatsunoko Production
43,J.C.Staff
6,MADHOUSE
88,Triangle Staff
202,Shirogumi
43,J.C.Staff
1,TMS Entertainment
68,XEBEC
25,Studio DEEN
43,J.C.Staff
33,Magic Bus
45,Hoods Entertainment
20,SHAFT
203,Shinkuukan
134,Studio Junio
25,Studio DEEN
53,TNK
204,Anpro
164,Dangun Pictures
205,D.A.S.T Corporation
19,Pierrot
53,TNK
18,Sunrise
65,ARMS
25,Studio DEEN
